"county","unemp_rate_mar_2020","industry","job_count"
"Chowan County",3.8,"other_services_ex__public_admin",119
"Chowan County",3.8,"public_admin",399
"Chowan County",3.8,"unclassified",0
"Clay County",3.6,"all_industries",1981
"Clay County",3.6,"agriculture_forestry_fishing_hunting",NA
"Clay County",3.6,"mining",0
"Clay County",3.6,"utilities",0
"Clay County",3.6,"construction",181
"Clay County",3.6,"manufacturing",150
"Clay County",3.6,"wholesale_trade",NA
"Clay County",3.6,"retail_trade",372
"Clay County",3.6,"transportation_warehousing",22
"Clay County",3.6,"information",3
"Clay County",3.6,"finance_insurance",58
"Clay County",3.6,"real_estate_rental_leasing",NA
"Clay County",3.6,"professional_technical_services",32
"Clay County",3.6,"mgt_of_companies_enterprises",0
"Clay County",3.6,"administrative_waste_services",53
"Clay County",3.6,"educational_services",213
"Clay County",3.6,"health_care_social_assistance",284
"Clay County",3.6,"arts_entertain_recreation",11
"Clay County",3.6,"accommodation_food_services",216
"Clay County",3.6,"other_services_ex__public_admin",51
"Clay County",3.6,"public_admin",249
"Clay County",3.6,"unclassified",0
"Cleveland County",4,"all_industries",34312
"Cleveland County",4,"agriculture_forestry_fishing_hunting",135
"Cleveland County",4,"mining",NA
"Cleveland County",4,"utilities",221
"Cleveland County",4,"construction",1670
"Cleveland County",4,"manufacturing",6785
"Cleveland County",4,"wholesale_trade",948
"Cleveland County",4,"retail_trade",3882
"Cleveland County",4,"transportation_warehousing",2575
"Cleveland County",4,"information",392
"Cleveland County",4,"finance_insurance",470
"Cleveland County",4,"real_estate_rental_leasing",296
"Cleveland County",4,"professional_technical_services",725
"Cleveland County",4,"mgt_of_companies_enterprises",NA
"Cleveland County",4,"administrative_waste_services",1992
"Cleveland County",4,"educational_services",2309
"Cleveland County",4,"health_care_social_assistance",4973
"Cleveland County",4,"arts_entertain_recreation",NA
"Cleveland County",4,"accommodation_food_services",2809
"Cleveland County",4,"other_services_ex__public_admin",624
"Cleveland County",4,"public_admin",2050
"Cleveland County",4,"unclassified",0
"Columbus County",4.9,"all_industries",14936
"Columbus County",4.9,"agriculture_forestry_fishing_hunting",180
"Columbus County",4.9,"mining",0
"Columbus County",4.9,"utilities",50
"Columbus County",4.9,"construction",478
"Columbus County",4.9,"manufacturing",1831
"Columbus County",4.9,"wholesale_trade",400
"Columbus County",4.9,"retail_trade",1955
"Columbus County",4.9,"transportation_warehousing",446
"Columbus County",4.9,"information",63
"Columbus County",4.9,"finance_insurance",440
"Columbus County",4.9,"real_estate_rental_leasing",162
"Columbus County",4.9,"professional_technical_services",619
"Columbus County",4.9,"mgt_of_companies_enterprises",303
"Columbus County",4.9,"administrative_waste_services",1037
"Columbus County",4.9,"educational_services",1389
"Columbus County",4.9,"health_care_social_assistance",2398
"Columbus County",4.9,"arts_entertain_recreation",38
"Columbus County",4.9,"accommodation_food_services",1166
"Columbus County",4.9,"other_services_ex__public_admin",269
"Columbus County",4.9,"public_admin",1714
"Columbus County",4.9,"unclassified",0
"Craven County",3.4,"all_industries",38410
"Craven County",3.4,"agriculture_forestry_fishing_hunting",231
"Craven County",3.4,"mining",47
"Craven County",3.4,"utilities",145
"Craven County",3.4,"construction",1232
"Craven County",3.4,"manufacturing",3610
"Craven County",3.4,"wholesale_trade",643
"Craven County",3.4,"retail_trade",5664
"Craven County",3.4,"transportation_warehousing",1119
"Craven County",3.4,"information",215
"Craven County",3.4,"finance_insurance",618
"Craven County",3.4,"real_estate_rental_leasing",401
"Craven County",3.4,"professional_technical_services",1668
"Craven County",3.4,"mgt_of_companies_enterprises",203
"Craven County",3.4,"administrative_waste_services",1550
"Craven County",3.4,"educational_services",2393
"Craven County",3.4,"health_care_social_assistance",6877
"Craven County",3.4,"arts_entertain_recreation",439
