"county","year","population"
"Buncombe County",2042,332477
"Buncombe County",2045,341195
"Buncombe County",2046,344103
"Burke County",2011,89805
"Burke County",2019,88036
"Burke County",2029,87786
"Burke County",2039,87626
"Cabarrus County",2014,193729
"Cabarrus County",2016,205716
"Cabarrus County",2037,307568
"Cabarrus County",2041,326555
"Cabarrus County",2043,336193
"Caldwell County",2011,82615
"Caldwell County",2025,81183
"Caldwell County",2032,81254
"Caldwell County",2042,81259
"Caldwell County",2045,81258
"Caldwell County",2049,81259
"Camden County",2010,10000
"Camden County",2021,10663
"Carteret County",2019,67856
"Carteret County",2025,70182
"Carteret County",2037,75098
"Carteret County",2041,76723
"Carteret County",2046,78755
"Carteret County",2048,79566
"Carteret County",2050,80381
"Caswell County",2016,23083
"Caswell County",2027,21859
"Caswell County",2035,21095
"Caswell County",2038,20813
"Caswell County",2042,20434
"Catawba County",2013,155640
"Catawba County",2023,163845
"Catawba County",2031,172276
"Catawba County",2050,192303
"Chatham County",2012,65110
"Chatham County",2020,76544
"Chatham County",2023,79708
"Chatham County",2030,89167
"Chatham County",2040,102379
"Chatham County",2047,111576
"Chatham County",2050,115545
"Cherokee County",2019,28931
"Cherokee County",2023,29387
"Cherokee County",2048,34675
"Chowan County",2013,14631
"Chowan County",2014,14389
"Chowan County",2024,13724
"Clay County",2023,11573
"Clay County",2027,12029
"Clay County",2035,12985
"Clay County",2036,13104
"Clay County",2040,13581
"Clay County",2049,14651
"Cleveland County",2012,97250
"Cleveland County",2017,97336
"Cleveland County",2019,98660
"Cleveland County",2020,99684
"Cleveland County",2021,100934
"Cleveland County",2024,103371
"Cleveland County",2029,105603
"Cleveland County",2033,106488
"Columbus County",2016,53639
"Columbus County",2019,51536
"Columbus County",2040,45878
"Columbus County",2042,45413
"Columbus County",2044,44946
"Columbus County",2048,44014
"Columbus County",2049,43781
"Craven County",2010,104123
"Craven County",2014,103219
"Cumberland County",2011,331103
"Cumberland County",2018,333077
"Cumberland County",2023,345250
"Cumberland County",2029,349243
"Cumberland County",2041,350025
"Cumberland County",2043,350036
"Currituck County",2018,26620
"Currituck County",2032,43940
"Currituck County",2045,60886
"Currituck County",2050,67404
"Dare County",2013,34808
"Dare County",2022,37937
"Dare County",2030,41583
"Dare County",2033,42950
"Dare County",2039,45687
"Dare County",2046,48876
"Dare County",2050,50700
"Davidson County",2012,162710
"Davidson County",2016,164749
"Davidson County",2020,169178
"Davidson County",2021,170907
"Davidson County",2029,182644
"Davidson County",2032,187030
"Davidson County",2033,188489
"Davidson County",2047,208949
"Davie County",2010,41231
"Davie County",2021,43280
"Duplin County",2011,58104
"Duplin County",2013,56066
"Duplin County",2041,48814
"Durham County",2020,325573
"Durham County",2022,332576
"Durham County",2038,406494
"Edgecombe County",2014,53814
"Edgecombe County",2017,50683
"Edgecombe County",2022,47707
"Edgecombe County",2024,46543
"Edgecombe County",2032,41892
"Edgecombe County",2034,40730
"Edgecombe County",2041,36663
"Edgecombe County",2044,34917
"Edgecombe County",2045,34336
"Edgecombe County",2046,33753
"Edgecombe County",2048,32593
"Forsyth County",2010,351434
"Forsyth County",2011,354661
"Forsyth County",2035,426056
"Forsyth County",2043,453432
"Forsyth County",2044,456867
"Franklin County",2013,61632
"Franklin County",2017,64554
"Franklin County",2021,71220
"Franklin County",2025,80352
"Franklin County",2027,85005
"Franklin County",2033,98968
"Franklin County",2041,117581
"Franklin County",2046,129216
"Franklin County",2047,131544
"Gaston County",2016,217334
"Gaston County",2023,241175
"Gaston County",2035,263460
"Gaston County",2036,265377
"Gaston County",2040,273091
"Gaston County",2043,278871
"Gaston County",2048,288505
"Gates County",2031,10036
"Gates County",2032,10029
"Gates County",2037,10007
"Gates County",2038,10006
"Gates County",2045,10001
"Gates County",2047,10000
"Graham County",2024,8075
"Graham County",2030,8105
"Graham County",2034,8114
"Graham County",2042,8117
"Granville County",2017,59895
"Granville County",2020,61059
"Granville County",2048,80976
"Greene County",2010,21240
"Greene County",2014,20834
"Greene County",2028,20120
"Greene County",2033,20120
"Greene County",2034,20118
"Greene County",2047,20120
"Greene County",2049,20120
"Guilford County",2013,507726
"Guilford County",2017,529098
"Guilford County",2022,544278
"Guilford County",2025,553974
"Guilford County",2031,581658
"Guilford County",2033,591765
"Guilford County",2039,622790
"Guilford County",2042,638452
"Guilford County",2047,664613
"Guilford County",2048,669850
"Halifax County",2011,54012
"Halifax County",2035,42243
"Halifax County",2038,40964
"Halifax County",2049,36271
"Harnett County",2010,115693
"Harnett County",2014,124529
"Harnett County",2015,125704
"Harnett County",2034,168026
"Harnett County",2040,181670
"Harnett County",2044,190766
"Harnett County",2046,195318
"Harnett County",2049,202136
"Haywood County",2015,59805
"Haywood County",2017,61552
"Haywood County",2020,62146
"Haywood County",2022,62888
"Haywood County",2039,69592
"Haywood County",2043,71167
